31-Oct-24 11:49:28 - INFO - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
31-Oct-24 11:49:28 - INFO - START OF UNSET LOG FOR 2024-10-31 11:49:28.342283
31-Oct-24 11:49:28 - INFO - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
31-Oct-24 11:50:49 - INFO - Response: {'controlNumber': '966918461', 'requestedControlNumber': '966918461', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:50 - INFO - Response: {'controlNumber': '43444349', 'requestedControlNumber': '43444349', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:51 - INFO - Response: {'controlNumber': '34585638', 'requestedControlNumber': '34585638', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:52 - INFO - Response: {'controlNumber': '29790154', 'requestedControlNumber': '1132903815', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:53 - INFO - Response: {'controlNumber': '17504544', 'requestedControlNumber': '17504544', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:54 - INFO - Response: {'controlNumber': '1552415', 'requestedControlNumber': '1552415', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:55 - INFO - Response: {'controlNumber': '174125241', 'requestedControlNumber': '174125241', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:56 - INFO - Response: {'controlNumber': '174125240', 'requestedControlNumber': '174125240', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:57 - INFO - Response: {'controlNumber': '650674419', 'requestedControlNumber': '650674419', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:58 - INFO - Response: {'controlNumber': '174125239', 'requestedControlNumber': '174125239', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:59 - INFO - Response: {'controlNumber': '174125238', 'requestedControlNumber': '174125238', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:51:00 - INFO - Response: {'controlNumber': '174125237', 'requestedControlNumber': '174125237', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:51:01 - INFO - Response: {'controlNumber': '650587226', 'requestedControlNumber': '650587226', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
